direction,start_row,start_col,length,word,source_csv
across,0,0,4,一栄一落,ocr_results_20250724_135550078_iOS_251206_224217.csv
across,0,5,3,近代化,ocr_results_20250724_135550078_iOS_251206_224217.csv
across,1,4,2,前世,ocr_results_20250724_135550078_iOS_251206_224217.csv
across,2,0,2,目鼻,ocr_results_20250724_135550078_iOS_251206_224217.csv
across,2,3,2,恋文,ocr_results_20250724_135550078_iOS_251206_224217.csv
across,2,6,2,品物,ocr_results_20250724_135550078_iOS_251206_224217.csv
across,3,1,3,水先人,ocr_results_20250724_135550078_iOS_251206_224217.csv
across,3,5,2,一目,ocr_results_20250724_135550078_iOS_251206_224217.csv
across,4,4,2,人世,ocr_results_20250724_135550078_iOS_251206_224217.csv
across,5,0,2,化物,ocr_results_20250724_135550078_iOS_251206_224217.csv
across,5,5,3,一本化,ocr_results_20250724_135550078_iOS_251206_224217.csv
across,6,2,4,縄文時代,ocr_results_20250724_135550078_iOS_251206_224217.csv
across,7,0,3,素人目,ocr_results_20250724_135550078_iOS_251206_224217.csv
across,7,6,2,水物,ocr_results_20250724_135550078_iOS_251206_224217.csv
down,0,0,3,一番目,ocr_results_20250724_135550078_iOS_251206_224217.csv
down,4,0,4,塩化水素,ocr_results_20250724_135550078_iOS_251206_224217.csv
down,2,1,2,鼻水,ocr_results_20250724_135550078_iOS_251206_224217.csv
down,0,2,2,一文,ocr_results_20250724_135550078_iOS_251206_224217.csv
down,3,2,2,先代,ocr_results_20250724_135550078_iOS_251206_224217.csv
down,6,2,2,縄目,ocr_results_20250724_135550078_iOS_251206_224217.csv
down,2,3,2,恋人,ocr_results_20250724_135550078_iOS_251206_224217.csv
down,5,3,2,散文,ocr_results_20250724_135550078_iOS_251206_224217.csv
down,1,4,2,前文,ocr_results_20250724_135550078_iOS_251206_224217.csv
down,6,4,2,時世,ocr_results_20250724_135550078_iOS_251206_224217.csv
down,0,5,2,近世,ocr_results_20250724_135550078_iOS_251206_224217.csv
down,3,5,4,一世一代,ocr_results_20250724_135550078_iOS_251206_224217.csv
down,2,6,2,品目,ocr_results_20250724_135550078_iOS_251206_224217.csv
down,0,7,3,化合物,ocr_results_20250724_135550078_iOS_251206_224217.csv
down,4,7,4,帰化植物,ocr_results_20250724_135550078_iOS_251206_224217.csv
across,0,0,2,書道,ocr_results_20250724_135554956_iOS_251206_224223.csv
across,0,3,3,口話法,ocr_results_20250724_135554956_iOS_251206_224223.csv
across,1,1,3,中国語,ocr_results_20250724_135554956_iOS_251206_224223.csv
across,1,5,3,人相書,ocr_results_20250724_135554956_iOS_251206_224223.csv
across,2,0,2,書記,ocr_results_20250724_135554956_iOS_251206_224223.csv
across,2,3,2,文語,ocr_results_20250724_135554956_iOS_251206_224223.csv
across,3,2,2,手法,ocr_results_20250724_135554956_iOS_251206_224223.csv
across,3,5,3,上方語,ocr_results_20250724_135554956_iOS_251206_224223.csv
across,4,1,2,人形,ocr_results_20250724_135554956_iOS_251206_224223.csv
across,4,4,2,中半,ocr_results_20250724_135554956_iOS_251206_224223.csv
across,5,2,2,裏口,ocr_results_20250724_135554956_iOS_251206_224223.csv
across,5,5,2,身軽,ocr_results_20250724_135554956_iOS_251206_224223.csv
across,6,0,3,身上書,ocr_results_20250724_135554956_iOS_251206_224223.csv
across,6,6,2,口中,ocr_results_20250724_135554956_iOS_251206_224223.csv
across,7,2,4,人造人間,ocr_results_20250724_135554956_iOS_251206_224223.csv
down,2,0,2,書法,ocr_results_20250724_135554956_iOS_251206_224223.csv
down,5,0,3,等身大,ocr_results_20250724_135554956_iOS_251206_224223.csv
