char1,char2,freq
大,学,975
主,義,510
日,本,499
国,際,258
社,会,251
文,字,234
学,会,222
経,済,209
研,究,199
動,物,198
学,校,198
情,報,190
協,会,187
時,間,181
運,動,178
装,置,174
理,学,168
会,社,167
科,学,163
化,学,160
自,動,158
保,険,156
言,語,156
管,理,155
神,経,153
政,治,152
教,育,151
時,代,149
労,働,148
試,験,147
細,胞,144
工,業,140
関,係,139
女,子,138
生,活,138
世,界,137
生,物,137
自,然,133
文,化,132
環,境,132
自,己,132
銀,行,132
障,害,128
植,物,127
電,気,125
美,術,123
技,術,121
機,関,121
自,由,121
処,理,119
国,家,119
学,者,119
通,信,119
戦,争,117
文,学,114
産,業,114
電,子,114
企,業,113
問,題,112
共,同,111
制,度,111
検,査,110
機,能,110
価,格,107
究,所,106
構,造,105
会,議,103
電,話,103
人,工,101
宇,宙,101
市,場,101
精,神,101
生,産,99
調,査,98
国,民,97
組,織,97
集,合,97
事,業,96
委,員,96
計,画,96
保,護,95
地,方,95
放,射,95
遺,伝,95
写,真,93
状,態,93
資,本,92
工,学,91
関,数,91
料,理,90
東,京,90
航,空,90
都,市,90
療,法,89
活,動,88
論,理,88
人,間,87
医,療,87
科,大,87
一,般,86
開,発,82
義,者,81
裁,判,81
条,件,80
特,別,80
第,一,80
作,業,79
原,子,79
選,挙,79
安,全,78
表,示,78
中,国,77
図,書,77
信,号,76
員,会,76
記,号,76
番,号,75
制,御,74
政,策,74
軍,事,74
音,楽,74
二,重,73
交,通,73
取,引,73
基,本,73
契,約,73
学,院,73
演,算,73
行,動,73
機,械,72
術,館,72
販,売,72
貿,易,72
距,離,72
作,用,71
地,域,71
外,国,71
感,染,71
施,設,71
業,者,70
要,素,70
仕,事,69
警,察,69
速,度,69
事,務,68
分,析,68
可,能,68
所,得,68
放,送,68
消,費,68
物,質,68
行,政,68
飛,行,68
一,人,67
交,換,67
個,人,67
動,車,67
学,生,67
意,識,67
旅,行,67
物,理,67
事,件,66
団,体,66
理,論,66
立,大,66
西,洋,66
記,憶,66
郵,便,66
金,融,66
使,用,65
反,射,65
反,応,65
政,府,65
行,為,65
記,録,65
証,明,65
子,大,64
書,館,64
火,山,64
製,品,64
新,聞,63
民,主,63
部,分,63
三,角,62
中,央,62
動,脈,62
命,令,62
女,性,62
文,書,62
総,合,62
蜘,蛛,62
計,算,62
責,任,62
集,団,62
営,業,61
地,震,61
外,交,61
完,全,61
心,理,61
接,続,61
絶,対,61
連,合,61
工,場,60
空,間,60
議,会,60
酸,化,60
中,間,59
回,転,59
標,準,59
犯,罪,59
符,号,59
風,呂,59
人,口,58
効,果,58
小,説,58
投,資,58
物,学,58
言,葉,58
選,択,58
入,力,57
分,子,57
太,陽,57
時,計,57
期,間,57
民,族,57
組,合,57
資,産,57
医,学,56
味,噌,56
学,的,56
方,向,56
映,画,56
栄,養,56
業,大,56
機,構,56
会,計,55
投,票,55
最,高,55
県,立,55
経,営,55
結,合,55
能,力,55
道,路,55
鉄,道,55
信,用,54
名,詞,54
実,験,54
法,人,54
菓,子,54
運,転,54
利,用,53
地,下,53
基,準,53
大,臣,53
大,阪,53
少,年,53
平,均,53
発,電,53
米,国,53
資,金,53
農,業,53
院,大,53
電,力,53
公,開,52
力,学,52
安,定,52
宗,教,52
手,術,52
物,語,52
語,学,52
不,可,51
動,詞,51
哲,学,51
回,路,51
攻,撃,51
条,約,51
直,接,51
結,婚,51
補,助,51
証,券,51
人,形,50
代,理,50
伝,子,50
家,族,50
成,長,50
文,法,50
構,成,50
決,定,50
発,生,50
住,宅,49
加,工,49
合,成,49
変,換,49
宣,言,49
形,式,49
感,覚,49
海,老,49
独,立,49
脂,肪,49
食,品,49
大,和,48
専,門,48
平,和,48
建,築,48
県,警,48
短,期,48
行,列,48
連,盟,48
不,足,47
制,限,47
実,行,47
料,金,47
案,内,47
業,務,47
海,洋,47
特,定,47
禁,止,47
福,祉,47
部,屋,47
二,十,46
動,作,46
固,定,46
国,立,46
国,語,46
学,園,46
学,習,46
普,通,46
目,的,46
財,政,46
道,徳,46
部,隊,46
金,属,46
革,命,46
人,事,45
価,値,45
健,康,45
地,球,45
報,告,45
年,金,45
建,設,45
株,式,45
現,象,45
生,命,45
病,院,45
登,録,45
相,撲,45
記,念,45
議,員,45
輸,出,45
辞,典,45
予,備,44
係,数,44
参,照,44
呼,吸,44
商,品,44
商,業,44
地,理,44
現,代,44
相,互,44
磁,気,44
神,道,44
細,工,44
緊,急,44
評,価,44
一,次,43
乾,燥,43
仮,名,43
年,齢,43
広,告,43
座,標,43
指,定,43
指,数,43
殺,人,43
特,殊,43
空,気,43
繊,維,43
試,合,43
資,源,43
中,心,42
京,都,42
判,所,42
勘,定,42
印,刷,42
周,波,42
天,下,42
差,別,42
操,作,42
歴,史,42
表,現,42
調,整,42
道,具,42
雇,用,42
免,疫,41
出,版,41
分,布,41
単,位,41
土,地,41
循,環,41
景,気,41
最,終,41
燃,料,41
競,争,41
衛,生,41
観,光,41
領,域,41
二,次,40
代,表,40
作,戦,40
十,二,40
家,庭,40
工,事,40
思,想,40
支,援,40
整,理,40
治,療,40
炭,素,40
相,場,40
相,対,40
移,動,40
芸,術,40
蕎,麦,40
護,学,40
連,邦,40
養,護,40
体,系,39
保,証,39
共,通,39
兵,器,39
再,生,39
利,益,39
危,機,39
国,人,39
地,図,39
地,帯,39
変,化,39
小,屋,39
形,成,39
指,導,39
明,書,39
朝,鮮,39
格,子,39
気,候,39
準,備,39
漢,字,39
災,害,39
用,語,39
短,大,39
統,計,39
金,剛,39
関,節,39
防,衛,39
事,故,38
人,気,38
分,類,38
化,物,38
化,粧,38
同,盟,38
回,線,38
国,連,38
定,期,38
対,策,38
手,形,38
方,式,38
注,意,38
温,度,38
眼,鏡,38
立,体,38
細,菌,38
複,合,38
酸,素,38
防,止,38
人,物,37
内,部,37
原,理,37
場,所,37
天,文,37
太,平,37
子,短,37
射,線,37
工,作,37
憲,法,37
手,当,37
抵,抗,37
水,素,37
流,行,37
海,外,37
為,替,37
第,二,37
自,治,37
軌,道,37
輸,送,37
連,結,37
一,日,36
一,時,36
一,致,36
事,項,36
位,置,36
保,存,36
倫,理,36
免,許,36
公,共,36
分,解,36
医,科,36
十,字,36
大,陸,36
学,部,36
性,的,36
改,革,36
教,会,36
欧,州,36
江,戸,36
異,常,36
看,護,36
確,認,36
秘,密,36
舞,台,36
衛,星,36
財,産,36
通,貨,36
連,続,36
選,手,36
静,脈,36
一,番,35
交,渉,35
信,託,35
元,素,35
内,閣,35
分,散,35
園,大,35
坊,主,35
大,衆,35
戦,略,35
方,法,35
暗,号,35
気,象,35
石,油,35
蝙,蝠,35
血,管,35
製,造,35
豆,腐,35
輸,入,35
進,化,35
長,期,35
音,声,35
類,学,35
馬,鹿,35
不,良,34
予,約,34
児,童,34
分,離,34
千,鳥,34
協,力,34
否,定,34
天,気,34
屋,根,34
恐,怖,34
惑,星,34
意,気,34
画,像,34
社,員,34
規,制,34
規,則,34
角,形,34
記,者,34
費,用,34
階,級,34
電,波,34
一,本,33
予,算,33
交,流,33
仮,想,33
回,復,33
国,会,33
圧,縮,33
子,宮,33
強,制,33
拡,大,33
期,大,33
正,規,33
民,間,33
法,定,33
症,候,33
知,識,33
蝦,夷,33
観,測,33
近,代,33
野,菜,33
電,車,33
不,正,32
世,代,32
中,毒,32
人,生,32
伝,送,32
体,制,32
全,国,32
処,分,32
出,来,32
分,裂,32
変,数,32
大,会,32
市,民,32
帝,国,32
措,置,32
数,字,32
模,様,32
死,亡,32
活,用,32
疾,患,32
競,技,32
経,験,32
線,形,32
行,者,32
過,剰,32
集,中,32
高,等,32
一,体,31
不,安,31
事,前,31
人,民,31
人,種,31
作,物,31
保,健,31
停,止,31
働,者,31
優,先,31
出,力,31
化,合,31
協,定,31
反,対,31
地,獄,31
天,然,31
天,狗,31
太,鼓,31
対,象,31
手,段,31
政,権,31
本,部,31
楽,器,31
水,準,31
流,動,31
海,豚,31
海,道,31
無,線,31
理,的,31
監,督,31
第,三,31
老,人,31
解,析,31
許,可,31
費,者,31
避,難,31
関,税,31
項,目,31
不,動,30
人,権,30
人,類,30
候,群,30
光,学,30
動,的,30
危,険,30
合,物,30
名,誉,30
基,礎,30
外,部,30
天,地,30
実,体,30
戦,闘,30
所,有,30
捜,査,30
撮,影,30
方,程,30
本,語,30
歯,科,30
波,数,30
温,泉,30
測,定,30
男,性,30
砂,糖,30
程,式,30
空,中,30
結,晶,30
職,業,30
胡,麻,30
膜,炎,30
英,語,30
葡,萄,30
訴,訟,30
資,料,30
転,換,30
適,合,30
非,常,30
預,金,30
高,速,30
黄,金,30
上,手,29
不,能,29
入,国,29
入,学,29
判,断,29
化,石,29
受,信,29
器,官,29
大,名,29
天,体,29
婦,人,29
子,供,29
属,性,29
平,洋,29
心,臓,29
拡,張,29
支,配,29
最,大,29
材,料,29
気,圧,29
注,文,29
特,許,29
狂,言,29
現,実,29
生,理,29
産,物,29
番,組,29
相,手,29
破,壊,29
診,断,29
識,別,29
連,絡,29
進,行,29
酵,素,29
間,接,29
電,磁,29
不,定,28
不,明,28
仏,教,28
依,存,28
保,障,28
候,補,28
公,園,28
内,容,28
動,機,28
勝,負,28
協,議,28
収,入,28
司,法,28
国,内,28
塩,基,28
変,動,28
多,重,28
天,皇,28
夫,婦,28
宣,伝,28
害,者,28
文,明,28
検,索,28
業,界,28
永,久,28
熱,帯,28
百,合,28
相,談,28
立,美,28
系,統,28
素,子,28
蜻,蛉,28
記,述,28
誘,導,28
過,去,28
酸,塩,28
関,連,28
音,響,28
三,日,27
中,性,27
休,暇,27
会,員,27
体,験,27
作,家,27
供,給,27
兄,弟,27
刑,事,27
勤,務,27
南,京,27
単,純,27
同,期,27
商,人,27
地,区,27
執,行,27
定,数,27
富,士,27
市,立,27
帽,子,27
弁,護,27
役,者,27
指,示,27
曲,線,27
有,機,27
東,北,27
栽,培,27
比,較,27
水,平,27
水,道,27
無,人,27
物,価,27
獅,子,27
理,事,27
琉,球,27
発,行,27
移,植,27
結,果,27
統,合,27
翻,訳,27
自,主,27
解,放,27
設,計,27
貨,物,27
賃,金,27
退,職,27
通,知,27
通,行,27
三,十,26
不,法,26
主,権,26
人,格,26
保,守,26
割,引,26
動,力,26
務,所,26
単,一,26
台,湾,26
号,化,26
周,期,26
団,子,26
大,根,26
大,気,26
太,刀,26
姉,妹,26
形,態,26
応,用,26
怖,症,26
恋,愛,26
本,人,26
森,林,26
検,定,26
活,性,26
消,化,26
混,合,26
爆,弾,26
理,工,26
男,子,26
研,修,26
確,率,26
積,分,26
統,一,26
色,素,26
菩,薩,26
観,念,26
設,備,26
趣,味,26
路,線,26
身,体,26
金,庫,26
長,官,26
下,水,25
予,防,25
人,情,25
債,務,25
出,血,25
列,車,25
十,八,25
参,加,25
古,典,25
基,地,25
変,異,25
子,力,25
審,査,25
平,面,25
年,度,25
意,味,25
成,分,25
数,学,25
有,効,25
未,来,25
本,位,25
水,産,25
沖,縄,25
海,上,25
海,苔,25
消,防,25
済,学,25
発,信,25
発,性,25
監,視,25
硝,子,25
確,定,25
科,医,25
算,機,25
職,員,25
自,在,25
論,者,25
通,話,25
部,長,25
銀,河,25
限,界,25
一,等,24
九,州,24
予,定,24
事,会,24
交,代,24
介,護,24
会,学,24
公,立,24
動,産,24
北,海,24
同,一,24
国,籍,24
外,科,24
対,応,24
寿,司,24
崩,壊,24
年,代,24
幾,何,24
形,容,24
振,動,24
接,触,24
文,芸,24
断,層,24
暴,力,24
椅,子,24
機,器,24
武,装,24
流,通,24
演,説,24
現,地,24
現,金,24
瑠,璃,24
生,生,24
用,者,24
申,告,24
異,性,24
相,続,24
稽,古,24
範,囲,24
粒,子,24
紅,葉,24
編,集,24
義,務,24
臨,時,24
自,家,24
芥,子,24
薔,薇,24
薬,物,24
表,面,24
要,求,24
訓,練,24
証,書,24
認,識,24
面,積,24
風,土,24
万,年,23
中,学,23
中,継,23
人,参,23
信,者,23
共,産,23
切,手,23
千,万,23
博,士,23
収,容,23
地,質,23
変,更,23
定,義,23
容,量,23
寄,生,23
対,称,23
小,数,23
干,渉,23
度,計,23
心,地,23
支,那,23
政,党,23
染,症,23
根,性,23
次,元,23
武,者,23
母,音,23
汚,染,23
派,遣,23
測,量,23
烏,賊,23
爆,発,23
牡,丹,23
生,動,23
生,態,23
皮,膚,23
真,珠,23
知,的,23
納,税,23
自,転,23
芝,居,23
蜥,蜴,23
規,格,23
解,決,23
記,事,23
認,証,23
課,税,23
請,求,23
送,信,23
逮,捕,23
運,送,23
遠,隔,23
配,信,23
重,量,23
関,西,23
際,大,23
雑,誌,23
電,流,23
飽,和,23
上,位,22
不,全,22
中,立,22
主,要,22
二,人,22
亜,鉛,22
交,際,22
代,数,22
住,民,22
体,操,22
体,育,22
修,正,22
出,世,22
分,割,22
勢,力,22
取,締,22
合,体,22
合,理,22
塩,化,22
境,界,22
大,統,22
天,井,22
妊,娠,22
就,職,22
屋,敷,22
布,団,22
微,分,22
必,要,22
急,性,22
性,愛,22
投,手,22
拍,子,22
提,灯,22
教,授,22
書,類,22
本,主,22
構,文,22
歌,舞,22
歩,行,22
水,母,22
河,豚,22
法,学,22
海,岸,22
漁,業,22
無,限,22
状,況,22
現,在,22
用,品,22
神,楽,22
簡,易,22
統,領,22
練,習,22
自,殺,22
自,衛,22
著,作,22
蛋,白,22
表,記,22
観,音,22
論,文,22
転,車,22
量,子,22
鉱,物,22
電,機,22
電,池,22
面,体,22
韓,国,22
順,序,22
駐,車,22
麻,痺,22
麻,酔,22
中,華,21
人,道,21
公,害,21
凍,結,21
出,産,21
分,別,21
分,娩,21
動,性,21
十,六,21
博,物,21
収,益,21
同,時,21
品,質,21
商,売,21
団,扇,21
売,買,21
大,量,21
妨,害,21
媒,体,21
密,度,21
形,質,21
得,意,21
患,者,21
意,志,21
憶,装,21
手,間,21
担,保,21
掃,除,21
摩,擦,21
権,利,21
横,断,21
段,階,21
気,分,21
気,質,21
法,律,21
法,的,21
無,理,21
煙,草,21
独,占,21
現,場,21
生,殖,21
用,紙,21
発,光,21
発,表,21
発,見,21
監,査,21
着,陸,21
石,鹸,21
端,末,21
算,子,21
航,海,21
虫,類,21
血,液,21
読,書,21
負,担,21
透,明,21
配,達,21
野,球,21
関,東,21
限,定,21
電,信,21
黄,色,21
三,重,20
上,下,20
下,位,20
世,話,20
主,主,20
二,等,20
人,文,20
任,者,20
作,品,20
保,安,20
債,権,20
全,体,20
共,有,20
冷,凍,20
初,期,20
勝,手,20
十,日,20
十,進,20
原,始,20
受,験,20
古,屋,20
合,同,20
合,性,20
合,戦,20
告,書,20
固,有,20
圧,力,20
報,道,20
多,数,20
学,研,20
学,級,20
学,術,20
専,用,20
工,芸,20
広,島,20
抽,象,20
携,帯,20
整,備,20
方,言,20
日,和,20
日,月,20
時,刻,20
最,低,20
概,念,20
次,第,20
気,味,20
水,銀,20
沙,汰,20
潜,水,20
無,双,20
無,駄,20
理,人,20
生,徒,20
田,舎,20
画,面,20
知,能,20
美,人,20
能,性,20
脊,髄,20
血,症,20
行,性,20
被,害,20
規,模,20
設,定,20
説,明,20
警,備,20
警,報,20
譲,渡,20
車,両,20
辞,書,20
通,常,20
配,当,20
金,利,20
高,校,20
一,年,19
一,文,19
一,生,19
三,国,19
不,信,19
世,間,19
人,造,19
付,金,19
保,全,19
保,管,19
修,道,19
優,勝,19
全,面,19
分,泌,19
前,線,19
力,発,19
加,減,19
勉,強,19
北,極,19
区,域,19
卒,業,19
南,蛮,19
単,独,19
君,主,19
商,法,19
回,帰,19
国,防,19
土,竜,19
地,上,19
均,衡,19
大,手,19
太,郎,19
奈,良,19
学,士,19
審,判,19
崇,拝,19
御,手,19
心,的,19
意,見,19
愛,知,19
括,弧,19
採,用,19
探,知,19
損,失,19
支,持,19
数,点,19
日,記,19
最,小,19
東,洋,19
東,海,19
椰,子,19
楽,天,19
権,力,19
機,動,19
気,力,19
泥,棒,19
海,軍,19
無,機,19
独,裁,19
生,体,19
留,学,19
症,状,19
真,空,19
睡,眠,19
石,灰,19
立,法,19
線,維,19
羊,歯,19
臨,床,19
致,死,19
茄,子,19
行,機,19
計,量,19
認,知,19
警,戒,19
負,荷,19
超,過,19
軟,骨,19
運,営,19
重,力,19
隔,離,19
需,要,19
面,目,19
麻,薬,19
一,家,18
一,杯,18
三,昧,18
上,昇,18
下,手,18
事,実,18
事,情,18
井,戸,18
人,心,18
人,称,18
代,行,18
伝,統,18
作,者,18
保,育,18
信,仰,18
公,式,18
公,社,18
共,和,18
冷,却,18
処,女,18
分,岐,18
別,子,18
刺,激,18
創,造,18
加,算,18
務,員,18
化,水,18
医,薬,18
十,三,18
半,期,18
南,極,18
参,考,18
合,計,18
名,人,18
名,古,18
図,形,18
国,主,18
在,庫,18
垂,直,18
変,形,18
奴,隷,18
定,法,18
容,詞,18
宿,泊,18
審,議,18
射,性,18
居,住,18
師,範,18
帯,域,18
平,衡,18
広,報,18
引,用,18
感,情,18
戦,時,18
戦,術,18
戦,車,18
救,急,18
数,値,18
書,記,18
有,限,18
本,国,18
植,民,18
樹,脂,18
気,管,18
深,山,18
火,災,18
灰,色,18
無,事,18
物,屋,18
生,成,18
発,明,18
石,器,18
社,交,18
神,戸,18
立,憲,18
筋,肉,18
系,列,18
終,了,18
経,路,18
統,制,18
線,量,18
育,児,18
舞,伎,18
芸,者,18
蒸,気,18
血,球,18
行,事,18
見,世,18
計,学,18
記,法,18
訪,問,18
証,拠,18
議,院,18
貨,幣,18
赤,字,18
辛,子,18
連,鎖,18
過,程,18
道,楽,18
適,応,18
還,元,18
酸,性,18
鉄,砲,18
長,崎,18
閉,鎖,18
闘,争,18
集,会,18
難,民,18
電,圧,18
音,階,18
高,麗,18
上,級,17
乗,車,17
五,十,17
仕,様,17
代,名,17
仲,間,17
伊,勢,17
会,的,17
会,談,17
位,相,17
何,学,17
修,理,17
先,行,17
出,生,17
加,速,17
印,象,17
収,集,17
合,格,17
同,体,17
同,士,17
名,前,17
国,有,17
土,壌,17
土,産,17
塩,素,17
変,調,17
大,使,17
奉,公,17
委,託,17
婚,式,17
官,庁,17
実,用,17
小,児,17
小,型,17
平,行,17
年,生,17
弟,子,17
御,飯,17
応,答,17
急,行,17
性,子,17
恒,星,17
態,学,17
成,人,17
成,功,17
批,判,17
授,業,17
援,助,17
支,出,17
新,世,17
日,常,17
日,米,17
早,期,17
昆,虫,17
曜,日,17
格,差,17
標,本,17
機,密,17
比,例,17
注,射,17
