word,len,count,count_wiki,min_char_freq
無一文,3,3,523,642923
青二才,3,3,153,111404
花言葉,3,3,1355,466433
花吹雪,3,3,992,129860
花屋敷,3,3,517,184286
無駄口,3,3,159,22845
出来心,3,3,213,815214
絵巻物,3,3,893,158066
無茶苦茶,4,4,699,102246
遮二無二,4,4,122,15740
不可思議,4,4,1415,220195
我武者羅,4,4,123,90102
絵葉書,3,3,1571,211791
口下手,3,3,437,1266548
不手際,3,3,1460,814518
出来事,3,3,48895,1167782
不思議,3,3,33803,220195
風呂敷,3,3,962,66749
野良犬,3,3,1662,73428
大丈夫,3,3,8783,45866
卒塔婆,3,3,512,12386
番太郎,3,3,101,1176863
女郎花,3,3,291,466433
上出来,3,3,175,1167782
下屋敷,3,3,1360,184286
八百屋,3,3,2255,287401
土産物,3,3,2067,875961
浄瑠璃,3,3,5387,23384
一人娘,3,3,4601,33018
小間物,3,3,584,2182142
仲見世,3,3,414,174023
広小路,3,3,2975,869474
香具師,3,3,279,229779
片手間,3,3,217,178210
大部屋,3,3,959,933702
滅茶苦茶,4,4,871,102246
観世音,3,3,5131,609083
見世物,3,3,1982,927786
義太夫,3,3,1863,586962
河太郎,3,3,414,665711
中仙道,3,3,394,211125
雰囲気,3,3,25027,25058
仕事場,3,3,1719,305755
無邪気,3,3,3187,46379
有頂天,3,3,1595,87654
数寄者,3,3,165,178621
田舎道,3,3,162,245828
一目散,3,3,251,217583
冠木門,3,3,111,51912
真面目,3,3,13635,924917
美人局,3,3,302,296448
比丘尼,3,3,1279,36220
百日紅,3,3,298,91486
風呂場,3,3,920,66749
顔見世,3,3,343,69178
花相撲,3,3,134,79720
番小屋,3,3,128,933702
野良猫,3,3,1803,28229
囲炉裏,3,3,535,10052
田舎者,3,3,572,245828
十文字,3,3,2630,516245
一人前,3,3,2073,2113555
手仕事,3,3,437,305755
屋根裏,3,3,2806,67826
姫百合,3,3,163,101900
紫陽花,3,3,1262,68429
出入口,3,3,10042,1266548
小太刀,3,3,1264,74277
寝間着,3,3,138,36655
助太刀,3,3,1016,74277
羽二重,3,3,369,268595
切支丹,3,3,553,120815
勝手口,3,3,141,1266548
片田舎,3,3,541,178210
不可解,3,3,4001,915131
可哀想,3,3,583,17587
養父母,3,3,607,298725
言葉尻,3,3,362,56731
金比羅,3,3,881,102104
未亡人,3,3,8877,239284
大宰府,3,3,2090,46929
生真面目,4,4,2672,924917
船問屋,3,3,108,421359
藤四郎,3,3,1119,325660
白百合,3,3,3231,287401
小切手,3,3,3245,306454
大統領,3,3,173874,547579
不如帰,3,3,396,73568
三日月,3,3,5854,680975
羽子板,3,3,316,266608
五月雨,3,3,2303,96268
三太夫,3,3,1498,586962
一文字,3,3,397,667248
海老茶,3,3,169,122235
身勝手,3,3,1883,1498562
針仕事,3,3,128,154345
不出来,3,3,303,1010853
魚河岸,3,3,713,137279
小豆色,3,3,240,77033
恵比寿,3,3,14584,126902
歌留多,3,3,169,319141
恵比須,3,3,1200,208755
力仕事,3,3,310,305755
面白味,3,3,142,526118
偉丈夫,3,3,199,27015
八重桜,3,3,366,136654
物真似,3,3,2141,104535
案山子,3,3,816,365141
西王母,3,3,416,381822
太刀風,3,3,269,74277
山茶花,3,3,531,122235
無花果,3,3,271,466433
断末魔,3,3,561,311964
擬宝珠,3,3,545,23990
金輪際,3,3,186,225198
陰日向,3,3,144,92442
無鉄砲,3,3,845,163971
乳母車,3,3,455,120758
祖父母,3,3,3935,177775
居心地,3,3,841,329423
袋小路,3,3,609,67286
不可避,3,3,1433,213285
動植物,3,3,6116,314537
理化学,3,3,4557,1454666
鉱工業,3,3,547,104244
種子島,3,3,3973,711915
不可分,3,3,1378,915131
弥次郎兵衛,5,5,124,125445
秋日和,3,3,115,395971
居酒屋,3,3,10671,151289
殺風景,3,3,257,262417
破廉恥,3,3,346,7784
瀬戸際,3,3,455,360296
歌舞伎,3,3,29892,36507
不死身,3,3,2644,782852
