word,freq_jukugo,freq_all_words,freq_total,in_jukugo,in_all_words
一一,1,1,2,True,True
一一九番,1,0,1,True,False
一一八番,1,0,1,True,False
一一日,1,0,1,True,False
一一月,1,0,1,True,False
一丁,1,0,1,True,False
一丁前,1,1,2,True,True
一丁字,1,0,1,True,False
一丁目一番地,1,0,1,True,False
一丁羅,1,0,1,True,False
一七,1,0,1,True,False
一七日,1,0,1,True,False
一万,1,0,1,True,False
一万円,1,0,1,True,False
一万円券,1,0,1,True,False
一万円札,1,0,1,True,False
一三,1,0,1,True,False
一三日,1,0,1,True,False
一上一下,1,0,1,True,False
一下,1,1,2,True,True
一世,1,1,2,True,True
一世一代,1,1,2,True,True
一世一元,1,0,1,True,False
一世紀,1,0,1,True,False
一世風靡,1,0,1,True,False
一両,1,1,2,True,True
一両人,0,1,1,False,True
一両年,1,1,2,True,True
一両日,1,1,2,True,True
一両日中,1,0,1,True,False
一中節,1,0,1,True,False
一丸,1,0,1,True,False
一之宮,1,0,1,True,False
一乗,1,0,1,True,False
一九,1,0,1,True,False
一九日,1,0,1,True,False
一了百了,1,0,1,True,False
一了簡,1,0,1,True,False
一事,1,1,2,True,True
一事不再理,1,0,1,True,False
一事不再議,1,0,1,True,False
一事両様,0,1,1,False,True
一二,1,1,2,True,True
一二四,1,0,1,True,False
一二日,1,0,1,True,False
一二月,1,0,1,True,False
一五,1,0,1,True,False
一五一十,1,0,1,True,False
一五日,1,0,1,True,False
一人,1,1,2,True,True
一人一人,1,1,2,True,True
一人一票,1,0,1,True,False
一人二役,1,0,1,True,False
一人会社,1,1,2,True,True
一人分,1,0,1,True,False
一人前,1,1,2,True,True
一人勝手,1,0,1,True,False
一人区,1,0,1,True,False
一人口,1,1,2,True,True
一人合点,1,0,1,True,False
一人天下,1,1,2,True,True
一人天狗,1,0,1,True,False
一人娘,1,0,1,True,False
一人子,1,0,1,True,False
一人宛,1,0,1,True,False
一人寝,1,0,1,True,False
一人尺八,1,0,1,True,False
一人当千,1,0,1,True,False
一人息子,1,0,1,True,False
一人旅,1,1,2,True,True
一人時間,1,0,1,True,False
一人焼肉,1,0,1,True,False
一人物,1,1,2,True,True
一人用,1,0,1,True,False
一人相撲,1,0,1,True,False
一人称,1,0,1,True,False
一人称代名詞,1,0,1,True,False
一人称単数,1,0,1,True,False
一人称複数,1,0,1,True,False
一人稽古,1,0,1,True,False
一人者,1,0,1,True,False
一人腹,1,0,1,True,False
一人舞,1,0,1,True,False
一人舞台,1,0,1,True,False
一人芝居,1,0,1,True,False
一人親,1,0,1,True,False
一人親家庭,1,0,1,True,False
一人親方,1,0,1,True,False
一人言,1,0,1,True,False
一人身,1,0,1,True,False
一人部屋,1,0,1,True,False
一人静,1,0,1,True,False
一人飯,1,0,1,True,False
一介,1,0,1,True,False
一仕事,1,0,1,True,False
一代,1,1,2,True,True
一代一度,1,0,1,True,False
一代分限,1,1,2,True,True
一代年寄,1,0,1,True,False
一代記,1,1,2,True,True
一代雑種,1,0,1,True,False
一件,1,1,2,True,True
一件書類,1,0,1,True,False
一件落着,1,1,2,True,True
一任,1,1,2,True,True
一伍一什,1,0,1,True,False
一会,0,1,1,False,True
一位,1,1,2,True,True
一佐,1,0,1,True,False
一体,1,1,2,True,True
