word,len
一一,2
一丁前,3
一三,2
一下,2
一世,2
一世一代,4
一両,2
一両人,3
一両年,3
一両日,3
一丸,2
一乗,2
一九,2
一事,2
一事両様,4
一二,2
一人,2
一人一人,4
一人会社,4
一人前,3
一人口,3
一人天下,4
一人娘,3
一人息子,4
一人旅,3
一人物,3
一人芝居,4
一人親,3
一介,2
一代,2
一代分限,4
一代記,3
一件,2
一件落着,4
一任,2
一会,2
一位,2
一体,2
一体全体,4
一体分身,4
一体化,3
一体成形,4
一個人,3
一倍,2
一元,2
一元化,3
一党,2
一入,2
一八,2
一円,2
一刀両断,4
一刀流,3
一分,2
一分別,3
一分金,3
一切,2
一列,2
一別来,3
一利,2
一刻,2
一助,2
一千,2
一半,2
一双,2
一口,2
一口大,3
一句,2
一合,2
一同,2
一名,2
一向,2
一周,2
一周年,3
一味,2
一味同心,4
一味神水,4
一命,2
一品,2
一品料理,4
一員,2
一問,2
一喝,2
一回生,3
一因,2
一団,2
一国,2
一国一城,4
一国者,3
一堂,2
一報,2
一場,2
一塁,2
一声,2
一変,2
一夏,2
一夕,2
一夜,2
一夜大尽,4
一大,2
一大事,3
一大決心,4
一大発見,4
一天,2
一天下,3
一天四海,4
一太郎,3
一夫,2
一女,2
一如,2
一子,2
一子相伝,4
一子稲伝,4
一字,2
一字一句,4
一字一点,4
一字体,3
一字千金,4
一字書,3
一存,2
一宇,2
一定,2
一実,2
一客,2
一室,2
一宮,2
一家,2
一家一口,4
一家中,3
一家団繰,4
一家相伝,4
一家総出,4
一家言,3
一宿一飯,4
一寝,2
一寸,2
一対,2
一対一,3
一対一対応,5
一将,2
一層,2
一山,2
一巡,2
一工夫,3
一席,2
一帯,2
一幕,2
一幕物,3
一年,2
一年生,3
一年草,3
一度,2
一座,2
一式,2
一張,2
一役,2
一律,2
一得,2
一得一失,4
一徳,2
一徹,2
一徹者,3
一心,2
一心不乱,4
一心協力,4
一心同体,4
一応,2
一念,2
一念発起,4
一息,2
一意,2
一意専心,4
一意直到,4
一戦,2
一戸,2
一所,2
一所不住,4
一所懸命,4
一手,2
一手間,3
一投足,3
一括,2
一挙,2
一挙一動,4
一挙両得,4
一掃,2
一撃,2
一攫千金,4
一文,2
一文字,3
一斉,2
一新,2
一方,2
一方口,3
一方通行,4
一族,2
一日,2
一日一夜,4
一日三秋,4
一日中,3
一日千秋,4
一日晴,3
一日片時,4
一日路,3
一旦,2
一昨,2
一昨年,3
一昨日,3
一昼夜,3
一時,2
一時中断,4
一時停車,4
一時文,3
一時期,3
一時硬水,4
一時金,3
一月,2
一服,2
一望,2
一望千里,4
一朝,2
一朝一夕,4
一期一会,4
一期生,3
一木,2
一本,2
一本刀,3
一本勝負,4
一本化,3
一本差,3
一本松,3
一本気,3
一本調子,4
一本道,3
一村,2
一条,2
一杯,2
一枚上手,4
一栄一落,4
一株,2
一格,2
一案,2
一極集中,4
一概,2
一様,2
一樹,2
一機,2
一次,2
一歩,2
一段,2
一段活用,4
一段落,3
一気,2
一水,2
一決,2
一法,2
一波,2
一派,2
一流,2
一流大学,4
一流選手,4
一点,2
一点一画,4
一点物,3
一牛鳴地,4
一物,2
一球入魂,4
一理,2
一環,2
一生,2
一生一世,4
一生涯,3
一生面,3
一男,2
一町,2
一画,2
一番,2
一番出世,4
一番列車,4
一番手,3
一番目,3
一番茶,3
一番風呂,4
一発勝貪,4
一発屋,3
一発必中,4
一発芸,3
一皮目,3
一目,2
一目十行,4
一目千本,4
一目散,3
一直,2
一直線,3
一眼,2
一瞬,2
一矢,2
一石,2
一石二鳥,4
一礼,2
一私人,3
一種,2
一端,2
一笑,2
一筆,2
一筆啓上,4
一筆画,3
一等,2
一等国,3
一等地,3
一筋,2
一節,2
一系,2
一紙,2
一級,2
一級品,3
一級河川,4
一統,2
一緒,2
一線,2
一群,2
一義,2
一翼,2
一考,2
一者,2
一脚,2
一致,2
一般,2
一般人,3
一般会計,4
一色,2
一花,2
一花心,3
一芸,2
一芸一能,4
一草一木,4
一葉,2
一行,2
一衣帯水,4
一見,2
一覧,2
一覧表,3
一角,2
一言,2
一言一句,4
一言一行,4
一計,2
一語,2
一語文,3
一説,2
一読,2
一読三嘆,4
一財産,3
一貫,2
一貫作業,4
一足,2
一路,2
一路平安,4
一蹴,2
一躍,2
一身,2
一身上,3
一軍,2
一軒家,3
一転,2
一輪,2
一輪草,3
一辺,2
一辺倒,3
一途,2
一通,2
一連,2
一週間,3
一進一退,4
一過,2
一道,2
一部,2
一部分,3
一重,2
一鑑国,3
一長一短,4
一門,2
一間,2
一隅,2
一隊,2
一際,2
一雨,2
一面,2
一面識,3
一頭地,3
一額,2
一風,2
一騎,2
一騎当千,4
一髪,2
一鬱手,3
丁場,2
丁子,2
丁字,2
丁寧,2
丁度,2
丁未,2
丁目,2
丁稚,2
丁重,2
丁銀,2
七五三,3
七分,2
七十,2
七千,2
七味,2
七変化,3
七夕,2
七夜,2
七子,2
七宝,2
七島,2
七星,2
七曜,2
七生,2
七百,2
七色,2
七色声,3
七草,2
七輪,2
七面鳥,3
万一,2
万万,2
万丈,2
万世,2
万世一系,4
万事,2
万人,2
万代,2
万作,2
万全,2
万別,2
万力,2
万化,2
万博,2
万国,2
万国共通,4
万国地図,4
万国旗,3
万場,2
万寿,2
万屋,2
万年,2
万年床,3
万年筆,3
万年雪,3
万年青,3
万延,2
万才,2
万有,2
万有引力,4
万来,2
万歳,2
万民,2
万治,2
万灯,2
万物,2
万物流転,4
万物流醸,4
万福,2
万福長者,4
万能,2
万華鏡,3
万葉,2
万象,2
万里,2
丈六,2
丈夫,2
三下,2
三人,2
三人三様,4
三代,2
三代目,3
三位,2
三位一体,4
三光,2
三公,2
三共,2
三冠馬,3
三分,2
三助,2
三十,2
三十路,3
三千,2
三又,2
三友,2
三味,2
三唱,2
三善,2
三国,2
三国一,3
三国時代,4
三塁,2
三大発明,4
三太夫,3
三好,2
三子,2
三宝,2
三宮,2
三家,2
三寒四温,4
三尊,2
三山,2
三年,2
三年三月,4
三弦,2
三彩,2
三徳,2
三愛,2
三才,2
三振,2
三文,2
三文判,3
三文小説,4
三文文士,4
三方,2
三日,2
三日坊主,4
三日天下,4
三日月,3
三日月形,4
三日月湖,4
三春,2
三昧,2
三時,2
三月,2
三本,2
三枚目,3
三業,2
三権,2
三権分立,4
三段論法,4
三毛,2
三毛作,3
三水,2
三河,2
三洋,2
三流,2
三男,2
三界,2
三百,2
三相交流,4
三省,2
三社祭,3
三神,2
三者,2
三者会談,4
三股,2
三脚,2
三色,2
三蔵,2
三行,2
三行半,3
三角,2
三角測量,4
三貴,2
三越,2
三輪,2
三郎,2
三部会,3
三部作,3
三里,2
三重,2
三野,2
三門,2
三陸,2
三面記事,4
三面鏡,3
三韓,2
三食,2
三香,2
三馬,2
三鬱,2
上一人,3
上上,2
上上吉,3
上下,2
上下変動,4
上下巻,3
上下水道,4
上世,2
上京,2
上人,2
上代,2
上代仮名,4
上代文学,4
上代語,3
上位,2
上体,2
上使,2
上側,2
上元,2
上克,2
上出来,3
上分,2
上分別,3
上前,2
上半,2
上半期,3
上半身,3
上古,2
上司,2
上告,2
上告審,3
上品,2
上唇,2
上嗣,2
上図,2
上国,2
上土,2
上地,2
上場,2
上場会社,4
上士,2
上声,2
上天,2
上天気,3
上奏,2
上官,2
上宮,2
上家,2
上宿,2
上屋,2
上屋敷,3
上層,2
上巻,2
上市,2
上布,2
上帝,2
上席,2
上帯,2
上底,2
上座,2
上弦,2
上役,2
上得意,3
上御一人,4
上忍,2
上意,2
上意下達,4
上戸,2
上手,2
上手物,3
上掲,2
上方,2
上方文叢,4
上方文学,4
上方者,3
上方落語,4
上方語,3
上旬,2
上昇,2
上昇気流,4
上映,2
上書,2
上期,2
上木,2
上板,2
上枝,2
上根,2
上棟,2
上段,2
上気,2
上水,2
上水道,3
上流,2
上海,2
上演,2
上演中,3
上物,2
上田,2
上申,2
上申書,3
上町,2
上界,2
上白糖,3
上皇,2
上皮,2
上目,2
上着,2
上知,2
上石,2
上程,2
上空,2
上端,2
上等,2
上米,2
上納,2
上級,2
上級生,3
上総,2
上編,2
上肢,2
上腕,2
上衣,2
上表,2
上表文,3
上表紙,3
上製本,3
上覧,2
上計,2
上記,2
上訴,2
上調子,3
上議,2
上質,2
上越,2
上辺,2
上述,2
上進,2
上達,2
上部,2
上野,2
上長,2
上限,2
上院,2
上陸,2
上階,2
上面,2
上顎,2
上馬,2
上高地,3
下世話,3
下人,2
下付,2
下令,2
下位,2
下作人,3
下側,2
下僕,2
下元,2
下克上,3
下処理,3
下剋上,3
下剋撃,3
下剤,2
下劣,2
下半,2
下半期,3
下口,2
下司,2
下合,2
下名,2
下向,2
下味,2
下命,2
下品,2
下唇,2
下問,2
下図,2
下国,2
下地,2
下地中分,4
下坂,2
下垂,2
下城,2
下士,2
下天,2
下女,2
下学,2
下学上達,4
下宮,2
下家,2
下宿,2
下宿人,3
下屋,2
下屋敷,3
下層,2
下山,2
下巻,2
下座,2
下弦,2
下心,2
下忍,2
下戸,2
下手,2
下手人,3
下手代,3
下手巧者,4
下手物,3
下手物趣味,5
下文,2
下方,2
下方修正,4
下日,2
下旬,2
下期,2
下木,2
下校,2
下根,2
下森,2
下検分,3
下欄,2
下段,2
下毛野,3
下水,2
下水処理,4
下水管,3
下水置,3
下水道,3
下流,2
下準備,3
下火,2
下熱,2
下田,2
下男,2
下町,2
下町風,3
下界,2
下痢,2
下目,2
下着,2
下知,2
下石,2
下稽古,3
下端,2
下等,2
下級,2
下級生,3
下絵,2
下総,2
下線,2
下肢,2
下腹,2
下腹部,3
下臨,2
下船,2
下草,2
下落,2
下葉,2
下行,2
下表,2
下見,2
下見世,3
下記,2
下話,2
下説,2
下請,2
下賜,2
下足,2
下足料,3
下足番,3
下路,2
下車,2
下辺,2
下道,2
下達,2
下部,2
下野,2
下金,2
下降,2
下降気流,4
下限,2
下院,2
下面,2
下顎,2
下馬,2
下馬評,3
下駄,2
下騒,2
不一,2
不世出,3
不乱,2
不二,2
不人気,3
不人相,3
不介入,3
不仲,2
不休,2
不会,2
不作,2
不作法,3
不便,2
不信,2
不倫,2
不偏,2
不備,2
不全,2
不公平,3
不公平感,4
不公正,3
不具合,3
不凍,2
不出,2
不出来,3
不利,2
不動,2
不動明王,4
不動産,3
不十分,3
不協和音,4
不可,2
不可侵,3
不可分,3
不可思議,4
不可抗力,4
不可欠,3
不可解,3
不可避,3
不合,2
不合理,3
不吉,2
不同,2
不味,2
不和,2
不品行,3
不問,2
不器用,3
不在,2
不変,2
不夜城,3
不如帰,3
不妊,2
不孝,2
不学,2
不安,2
不安定,3
不定,2
不定形,3
不定期,3
不定期船,4
不実,2
不審,2
不尽,2
不屈,2
不平,2
不平不満,4
不幸,2
不当,2
不得手,3
不徳,2
不心得,3
不心得者,4
不心績,3
不快,2
不思議,3
不急,2
不惑,2
不意,2
不感,2
不慮,2
不成,2
不成文,3
不成立,3
不戦,2
