word,len,count,count_wiki,min_char_freq,nankuro_score
日本,2,2,4780416,7622292,6.751157464714054
大学,2,2,2228774,8008870,6.5224130226526995
学校,2,2,2167573,3054440,6.44345717952211
人物,2,2,1613170,3357458,6.343969080506725
東京,2,2,1717851,2640503,6.313906870126884
放送,2,2,1893929,2323705,6.311302761953572
選手,2,2,1622582,2872536,6.294309182319928
出身,2,2,1177758,2235526,6.2183835608464175
場合,2,2,1022711,4380508,6.199597840673362
作品,2,2,1178183,1790138,6.197789873669635
昭和,2,2,1364801,1481308,6.19308317632361
平成,2,2,1123806,2632578,6.189996085481566
会社,2,2,1030755,3003530,6.1881129665892445
映画,2,2,1179785,1726101,6.1594632730522525
時代,2,2,965057,3540455,6.154462248973122
代表,2,2,1002182,2526369,6.143396301445621
外部,2,2,959734,2341237,6.135791343390336
出場,2,2,770013,4380508,6.133014806537984
大会,2,2,660215,5188722,6.1242702685938255
削除,2,2,1289163,1337107,6.124154987835406
関連,2,2,955796,2527301,6.109289461633986
出演,2,2,808012,2054414,6.09833313849326
依頼,2,2,1206937,1292545,6.093069394100964
世界,2,2,1075866,1290108,6.092293825082407
現在,2,2,921044,2067848,6.074770206838555
発売,2,2,815990,1526313,6.058353407166924
時間,2,2,717974,2803150,6.049339472809283
記事,2,2,672554,2998666,6.045770226856954
番組,2,2,924182,1526556,6.043046259951329
鉄道,2,2,825091,1316972,6.039495110276288
大阪,2,2,696595,967135,6.0311407251396965
脚注,2,2,946524,1231962,6.0179808407321405
研究,2,2,1021608,1050912,6.0175203516647215
活動,2,2,767615,1485057,6.015405274175471
会話,2,2,706183,1164281,6.01141024342918
登場,2,2,728175,1131284,6.007829871024167
使用,2,2,795163,1085309,6.007626110709496
事業,2,2,562107,3551611,6.002259193777619
一部,2,2,527985,4160294,6.000141670273778
議論,2,2,775986,1332957,5.996094612447937
中国,2,2,480229,4722675,5.986986423290334
開発,2,2,507849,3299377,5.964406719723507
作曲,2,2,568019,1486914,5.96390512932595
公式,2,2,619575,1894087,5.958953089466723
発表,2,2,525734,2526369,5.957538449457647
項目,2,2,729956,947199,5.946233363327717
文化,2,2,607096,1454666,5.944560805170915
社会,2,2,458610,3003530,5.9419149836350655
明治,2,2,615083,1774018,5.940228732828338
所属,2,2,696055,1039013,5.93940635087818
出典,2,2,543780,1072016,5.935564110332881
当時,2,2,511567,2324462,5.9340967233427335
編集,2,2,657554,1457185,5.9336650826472646
国際,2,2,587246,814518,5.933653381149222
年度,2,2,540945,1849759,5.93100524154721
監督,2,2,799204,895823,5.92722012130205
以下,2,2,550951,2143862,5.922537009527698
